"","subplot","point","hits","sp"
"2875","LCO 3","18","hit_1","TRIPAR"
"2876","LCO 3","19","hit_1","ERIMEL"
"2877","LCO 3","20","hit_1","DESCES"
"2878","LCO 3","20","hit_2","JUNDRU"
"2879","LCO 3","21","hit_1","DESCES"
"2880","LCO 3","21","hit_2","ERIGLA"
"2881","LCO 3","22","hit_1","JUNDRU"
"2882","LCO 3","23","hit_1","PHLALP"
"2883","LCO 3","24","hit_1","DESCES"
"2884","LCO 3","25","hit_1","DESCES"
"2885","LCO 3","30","hit_1","DESCES"
"2886","LCO 3","30","hit_2","JUNDRU"
"2887","LCO 3","35","hit_1","DESCES"
"2888","LCO 3","36","hit_1","PHLALP"
"2889","LCO 3","36","hit_2","ERIMEL"
"2890","LCO 3","37","hit_1","ERIGLA"
"2891","LCO 3","38","hit_1","ERIGLA"
"2892","LCO 3","39","hit_1","JUNDRU"
"2893","LCO 3","40","hit_1","ERIMEL"
"2894","LCO 3","41","hit_1","ERIMEL"
"2895","LCO 3","41","hit_2","SELDEN"
"2896","LCO 3","42","hit_1","DESCES"
"2897","LCO 3","43","hit_1","TRIPAR"
"2898","LCO 3","43","hit_2","JUNDRU"
"2899","LCO 3","44","hit_1","ERIGLA"
"2900","LCO 3","44","hit_2","JUNDRU"
"2901","LCO 3","45","hit_1","RANADO"
"2902","LCO 3","46","hit_1","PHLALP"
"2903","LCO 3","47","hit_1","PHLALP"
"2904","LCO 3","47","hit_2","ERIMEL"
"2905","LCO 3","48","hit_1","DESCES"
"2906","LCO 3","48","hit_2","PHLALP"
"2907","LCO 3","48","hit_3","ERIMEL"
"2908","LCO 3","49","hit_1","PHLALP"
"2909","LCO 3","50","hit_1","RANADO"
"2910","LCO 3","50","hit_2","ERIMEL"
"2911","LCO 7","1","hit_1","SOLMUL"
"2912","LCO 7","1","hit_2","TRIPAR"
"2913","LCO 7","2","hit_1","DANINT"
"2914","LCO 7","3","hit_1","DANINT"
"2915","LCO 7","3","hit_2","GEUROS"
"2916","LCO 7","3","hit_3","ANTMED"
"2917","LCO 7","4","hit_1","GEUROS"
"2918","LCO 7","4","hit_2","ARTSCO"
"2919","LCO 7","5","hit_1","GEUROS"
"2920","LCO 7","6","hit_1","DANINT"
"2921","LCO 7","7","hit_1","DANINT"
"2922","LCO 7","7","hit_2","ANTMED"
"2923","LCO 7","8","hit_1","SOLMUL"
"2924","LCO 7","11","hit_1","DANINT"
"2925","LCO 7","12","hit_1","DANINT"
"2926","LCO 7","12","hit_2","ERIMEL"
"2927","LCO 7","13","hit_1","ARTSCO"
"2928","LCO 7","14","hit_1","SIBPRO"
"2929","LCO 7","15","hit_1","GEUROS"
"2930","LCO 7","18","hit_1","ARTSCO"
"2931","LCO 7","19","hit_1","ANTMED"
"2932","LCO 7","20","hit_1","DANINT"
"2933","LCO 7","20","hit_2","ANTMED"
"2934","LCO 7","21","hit_1","GEUROS"
"2935","LCO 7","21","hit_2","DANINT"
"2936","LCO 7","22","hit_1","GEUROS"
"2937","LCO 7","24","hit_1","DANINT"
"2938","LCO 7","24","hit_2","CAMROT"
"2939","LCO 7","26","hit_1","DANINT"
"2940","LCO 7","26","hit_2","GEUROS"
"2941","LCO 7","27","hit_1","TRIPAR"
"2942","LCO 7","27","hit_2","DANINT"
"2943","LCO 7","27","hit_3","GEUROS"
"2944","LCO 7","29","hit_1","DANINT"
"2945","LCO 7","31","hit_1","DANINT"
"2946","LCO 7","31","hit_2","GEUROS"
"2947","LCO 7","32","hit_1","DANINT"
"2948","LCO 7","32","hit_2","GEUROS"
"2949","LCO 7","33","hit_1","GEUROS"
"2950","LCO 7","35","hit_1","DANINT"
"2951","LCO 7","35","hit_2","RANADO"
"2952","LCO 7","36","hit_1","GEUROS"
"2953","LCO 7","36","hit_2","RANADO"
"2954","LCO 7","37","hit_1","DANINT"
"2955","LCO 7","38","hit_1","DANINT"
"2956","LCO 7","39","hit_1","GEUROS"
"2957","LCO 7","41","hit_1","GEUROS"
"2958","LCO 7","42","hit_1","RANADO"
"2959","LCO 7","43","hit_1","GEUROS"
"2960","LCO 7","44","hit_1","GEUROS"
"2961","LCO 7","45","hit_1","DANINT"
"2962","LCO 7","45","hit_2","TRIPAR"
"2963","LCO 7","45","hit_3","ANTMED"
"2964","LCO 7","46","hit_1","GEUROS"
"2965","LCO 7","48","hit_1","GEUROS"
"2966","LCO 7","49","hit_1","DANINT"
"2967","LCO 7","50","hit_1","POTDIV"
"2968","LCO 7","50","hit_2","TRIPAR"
"2969","LCO 7","50","hit_3","ARTSCO"
"2970","LCO 4","3","hit_1","JUNDRU"
"2971","LCO 4","4","hit_1","JUNDRU"
"2972","LCO 4","4","hit_2","ERIMEL"
"2973","LCO 4","5","hit_1","JUNDRU"
"2974","LCO 4","5","hit_2","ERIMEL"
"2975","LCO 4","9","hit_1","JUNDRU"
"2976","LCO 4","13","hit_1","SIBPRO"
"2977","LCO 4","13","hit_2","JUNDRU"
"2978","LCO 4","14","hit_1","ERIMEL"
"2979","LCO 4","15","hit_1","ERIMEL"
"2980","LCO 4","16","hit_1","JUNDRU"
"2981","LCO 4","18","hit_1","ERIMEL"
"2982","LCO 4","19","hit_1","ERIMEL"
"2983","LCO 4","25","hit_1","ERIMEL"
"2984","LCO 4","27","hit_1","JUNDRU"
"2985","LCO 4","27","hit_2","ERIMEL"
"2986","LCO 4","28","hit_1","ERIMEL"
"2987","LCO 4","29","hit_1","JUNDRU"
"2988","LCO 4","29","hit_2","SIBPRO"
"2989","LCO 4","32","hit_1","JUNDRU"
"2990","LCO 4","33","hit_1","SIBPRO"
"2991","LCO 4","34","hit_1","JUNDRU"
"2992","LCO 4","34","hit_2","ERIMEL"
"2993","LCO 4","38","hit_1","TRIPAR"
"2994","LCO 4","39","hit_1","JUNDRU"
"2995","LCO 4","39","hit_2","ERIMEL"
"2996","LCO 4","41","hit_1","SIBPRO"
"2997","LCO 4","42","hit_1","SIBPRO"
"2998","LCO 4","43","hit_1","ERIMEL"
"2999","LCO 4","44","hit_1","JUNDRU"
"3000","LCO 4","44","hit_2","TRIPAR"
"3001","LCO 4","44","hit_3","SIBPRO"
"3002","LCO 4","45","hit_1","JUNDRU"
"3003","LCO 4","46","hit_1","ERIMEL"
"3004","LCO 4","46","hit_2","SIBPRO"
"3005","LCO 4","47","hit_1","JUNDRU"
"3006","LCO 4","47","hit_2","TRIPAR"
"3007","LCO 4","48","hit_1","TRIPAR"
"3008","LCO 4","49","hit_1","JUNDRU"
"3009","LCO 8","1","hit_1","SIBPRO"
"3010","LCO 8","3","hit_1","CARPYR"
"3011","LCO 8","6","hit_1","CARPYR"
"3012","LCO 8","7","hit_1","CARPYR"
"3013","LCO 8","8","hit_1","ERIMEL"
"3014","LCO 8","11","hit_1","DESCES"
"3015","LCO 8","12","hit_1","DESCES"
"3016","LCO 8","14","hit_1","ERIMEL"
"3017","LCO 8","15","hit_1","ERIMEL"
"3018","LCO 8","16","hit_1","DESCES"
"3019","LCO 8","17","hit_1","DESCES"
"3020","LCO 8","20","hit_1","DESCES"
"3021","LCO 8","21","hit_1","SIBPRO"
"3022","LCO 8","25","hit_1","DESCES"
"3023","LCO 8","29","hit_1","TRIPAR"
"3024","LCO 8","29","hit_2","DESCES"
"3025","LCO 8","32","hit_1","TRIPAR"
"3026","LCO 8","33","hit_1","DESCES"
"3027","LCO 8","34","hit_1","DESCES"
"3028","LCO 8","35","hit_1","TRIPAR"
"3029","LCO 8","38","hit_1","DESCES"
"3030","LCO 8","39","hit_1","DESCES"
"3031","LCO 8","40","hit_1","DESCES"
"3032","LCO 8","41","hit_1","ERIMEL"
"3033","LCO 8","43","hit_1","TRIPAR"
"3034","LCO 8","44","hit_1","TRIPAR"
"3035","LCO 8","45","hit_1","TRIPAR"
"3036","LCO 8","49","hit_1","TRIPAR"
"3037","LBS 1","1","hit_1","MINOBT"
"3038","LBS 1","4","hit_1","CAMROT"
"3039","LBS 1","4","hit_2","SELDEN"
"3040","LBS 1","5","hit_1","CAMROT"
"3041","LBS 1","6","hit_1","LLOSER"
"3042","LBS 1","6","hit_2","AREFEN"
"3043","LBS 1","7","hit_1","MINOBT"
"3044","LBS 1","8","hit_1","SOLMUL"
"3045","LBS 1","8","hit_2","MINOBT"
"3046","LBS 1","10","hit_1","MINOBT"
"3047","LBS 1","11","hit_1","LLOSER"
"3048","LBS 1","11","hit_2","SOLMUL"
"3049","LBS 1","12","hit_1","PHLPUL"
"3050","LBS 1","13","hit_1","SOLMUL"
"3051","LBS 1","13","hit_2","KOBMYO"
"3052","LBS 1","13","hit_3","SEDLAN"
"3053","LBS 1","14","hit_1","POTDIV"
"3054","LBS 1","16","hit_1","TRISPI"
"3055","LBS 1","17","hit_1","POTDIV"
"3056","LBS 1","21","hit_1","MINOBT"
"3057","LBS 1","22","hit_1","MINOBT"
"3058","LBS 1","23","hit_1","SELDEN"
"3059","LBS 1","24","hit_1","SOLMUL"
"3060","LBS 1","24","hit_2","AREFEN"
"3061","LBS 1","24","hit_3","CAMROT"
"3062","LBS 1","25","hit_1","AREFEN"
"3063","LBS 1","25","hit_2","CARRUP"
"3064","LBS 1","26","hit_1","MINOBT"
"3065","LBS 1","29","hit_1","MINOBT"
"3066","LBS 1","30","hit_1","SOLMUL"
"3067","LBS 1","31","hit_1","LLOSER"
"3068","LBS 1","32","hit_1","GEUROS"
"3069","LBS 1","32","hit_2","POTDIV"
"3070","LBS 1","33","hit_1","LLOSER"
"3071","LBS 1","33","hit_2","MINOBT"
"3072","LBS 1","35","hit_1","CARROS"
"3073","LBS 1","36","hit_1","LLOSER"
"3074","LBS 1","37","hit_1","MINOBT"
"3075","LBS 1","38","hit_1","GEUROS"
"3076","LBS 1","39","hit_1","LLOSER"
"3077","LBS 1","39","hit_2","CARROS"
"3078","LBS 1","40","hit_1","POTDIV"
"3079","LBS 1","44","hit_1","CARROS"
"3080","LBS 1","46","hit_1","CARROS"
"3081","LBS 1","48","hit_1","POTDIV"
"3082","LBS 1","49","hit_1","GEUROS"
"3083","LBS 1","49","hit_2","SOLMUL"
"3084","LBS 1","50","hit_1","CARROS"
"3085","LBS 3","1","hit_1","DESCES"
"3086","LBS 3","2","hit_1","ARTSCO"
"3087","LBS 3","4","hit_1","DESCES"
"3088","LBS 3","5","hit_1","POASKI"
"3089","LBS 3","6","hit_1","SIBPRO"
"3090","LBS 3","7","hit_1","TRIPAR"
"3091","LBS 3","7","hit_2","ARTSCO"
"3092","LBS 3","9","hit_1","DESCES"
"3093","LBS 3","10","hit_1","DESCES"
"3094","LBS 3","11","hit_1","GEUROS"
"3095","LBS 3","12","hit_1","TRIPAR"
"3096","LBS 3","12","hit_2","DESCES"
"3097","LBS 3","14","hit_1","DESCES"
"3098","LBS 3","16","hit_1","GEUROS"
"3099","LBS 3","17","hit_1","GEUROS"
"3100","LBS 3","17","hit_2","DESCES"
"3101","LBS 3","18","hit_1","GEUROS"
"3102","LBS 3","21","hit_1","DESCES"
"3103","LBS 3","22","hit_1","DESCES"
"3104","LBS 3","23","hit_1","DESCES"
"3105","LBS 3","25","hit_1","ERIMEL"
"3106","LBS 3","26","hit_1","DESCES"
"3107","LBS 3","26","hit_2","TRIPAR"
"3108","LBS 3","26","hit_3","ERISIM"
"3109","LBS 3","27","hit_1","ERISIM"
"3110","LBS 3","28","hit_1","DESCES"
"3111","LBS 3","30","hit_1","DESCES"
"3112","LBS 3","31","hit_1","JUNDRU"
"3113","LBS 3","33","hit_1","DESCES"
"3114","LBS 3","34","hit_1","ANTMED"
"3115","LBS 3","35","hit_1","DESCES"
"3116","LBS 3","36","hit_1","JUNDRU"
"3117","LBS 3","37","hit_1","DESCES"
"3118","LBS 3","38","hit_1","DESCES"
"3119","LBS 3","38","hit_2","SIBPRO"
"3120","LBS 3","39","hit_1","ANTMED"
"3121","LBS 3","40","hit_1","TRIPAR"
"3122","LBS 3","40","hit_2","ANTMED"
"3123","LBS 3","41","hit_1","DESCES"
"3124","LBS 3","42","hit_1","DESCES"
"3125","LBS 3","43","hit_1","ERIMEL"
"3126","LBS 3","44","hit_1","ANTMED"
"3127","LBS 3","45","hit_1","SIBPRO"
"3128","LBS 3","48","hit_1","DESCES"
"3129","LBS 3","48","hit_2","POASPP"
"3130","LBS 3","49","hit_1","ANTMED"
"3131","LBS 4","1","hit_1","JUNDRU"
"3132","LBS 4","1","hit_2","UNKGRA1"
"3133","LBS 4","3","hit_1","JUNDRU"
"3134","LBS 4","3","hit_2","SIBPRO"
"3135","LBS 4","4","hit_1","JUNDRU"
"3136","LBS 4","5","hit_1","SIBPRO"
"3137","LBS 4","6","hit_1","JUNDRU"
"3138","LBS 4","8","hit_1","JUNDRU"
"3139","LBS 4","8","hit_2","ERIMEL"
"3140","LBS 4","9","hit_1","JUNDRU"
"3141","LBS 4","9","hit_2","ERIMEL"
"3142","LBS 4","11","hit_1","JUNDRU"
"3143","LBS 4","12","hit_1","SIBPRO"
"3144","LBS 4","13","hit_1","SIBPRO"
"3145","LBS 4","14","hit_1","ERIMEL"
"3146","LBS 4","15","hit_1","ERIMEL"
"3147","LBS 4","16","hit_1","ERIMEL"
"3148","LBS 4","17","hit_1","POASKI"
"3149","LBS 4","19","hit_1","ERIMEL"
"3150","LBS 4","20","hit_1","SIBPRO"
"3151","LBS 4","22","hit_1","JUNDRU"
"3152","LBS 4","22","hit_2","ERIMEL"
"3153","LBS 4","23","hit_1","LEWPYG"
"3154","LBS 4","24","hit_1","JUNDRU"
"3155","LBS 4","25","hit_1","TRIPAR"
"3156","LBS 4","25","hit_2","ERIMEL"
"3157","LBS 4","25","hit_3","CARPYR"
"3158","LBS 4","26","hit_1","FESBRA"
"3159","LBS 4","28","hit_1","ERIMEL"
"3160","LBS 4","29","hit_1","JUNDRU"
"3161","LBS 4","36","hit_1","ERIMEL"
"3162","LBS 4","40","hit_1","ERIMEL"
"3163","LBS 4","41","hit_1","JUNDRU"
"3164","LBS 4","42","hit_1","ERIMEL"
"3165","LBS 4","43","hit_1","CARPYR"
"3166","LBS 4","45","hit_1","SIBPRO"
"3167","LBS 4","46","hit_1","JUNDRU"
"3168","LBS 4","46","hit_2","ERIMEL"
"3169","LBS 4","47","hit_1","JUNDRU"
"3170","LBS 4","47","hit_2","SILACA"
"3171","LBS 4","48","hit_1","ERIMEL"
"3172","LBS 7","1","hit_1","ERISIM"
"3173","LBS 7","2","hit_1","DANINT"
"3174","LBS 7","3","hit_1","SIBPRO"
"3175","LBS 7","3","hit_2","DANINT"
"3176","LBS 7","4","hit_1","DANINT"
"3177","LBS 7","4","hit_3","MINOBT"
"3178","LBS 7","5","hit_1","GEUROS"
"3179","LBS 7","5","hit_2","RANADO"
"3180","LBS 7","6","hit_1","DANINT"
"3181","LBS 7","8","hit_1","DANINT"
"3182","LBS 7","9","hit_1","CARHET"
"3183","LBS 7","10","hit_1","POTDIV"
"3184","LBS 7","11","hit_1","SOLMUL"
"3185","LBS 7","13","hit_1","POTDIV"
"3186","LBS 7","14","hit_1","GEUROS"
"3187","LBS 7","14","hit_2","FESBRA"
"3188","LBS 7","15","hit_1","POLBIS"
"3189","LBS 7","16","hit_1","GEUROS"
"3190","LBS 7","17","hit_1","TRISPI"
"3191","LBS 7","17","hit_2","DANINT"
"3192","LBS 7","18","hit_1","DANINT"
"3193","LBS 7","18","hit_2","MINOBT"
"3194","LBS 7","19","hit_1","SOLMUL"
"3195","LBS 7","19","hit_2","DANINT"
"3196","LBS 7","20","hit_1","GEUROS"
"3197","LBS 7","20","hit_2","DANINT"
"3198","LBS 7","20","hit_3","MINOBT"
"3199","LBS 7","22","hit_1","GEUROS"
"3200","LBS 7","23","hit_1","DANINT"
"3201","LBS 7","23","hit_2","MINOBT"
"3202","LBS 7","24","hit_1","GEUROS"
"3203","LBS 7","24","hit_2","RANADO"
"3204","LBS 7","24","hit_3","SOLMUL"
"3205","LBS 7","25","hit_1","GEUROS"
"3206","LBS 7","26","hit_1","DANINT"
"3207","LBS 7","27","hit_1","GEUROS"
"3208","LBS 7","28","hit_1","DANINT"
"3209","LBS 7","29","hit_1","DANINT"
"3210","LBS 7","30","hit_1","DANINT"
"3211","LBS 7","31","hit_1","ARTSCO"
"3212","LBS 7","31","hit_2","CAMROT"
"3213","LBS 7","33","hit_1","GEUROS"
"3214","LBS 7","34","hit_1","GEUROS"
"3215","LBS 7","34","hit_2","DANINT"
"3216","LBS 7","35","hit_1","GEUROS"
"3217","LBS 7","35","hit_2","DANINT"
"3218","LBS 7","36","hit_1","GEUROS"
"3219","LBS 7","37","hit_1","GEUROS"
"3220","LBS 7","38","hit_1","DANINT"
"3221","LBS 7","39","hit_1","DANINT"
"3222","LBS 7","39","hit_2","TRIPAR"
"3223","LBS 7","39","hit_3","POTDIV"
"3224","LBS 7","40","hit_1","GEUROS"
"3225","LBS 7","40","hit_2","RANADO"
"3226","LBS 7","40","hit_3","ERISIM"
"3227","LBS 7","41","hit_1","DANINT"
"3228","LBS 7","41","hit_2","GEUROS"
"3229","LBS 7","42","hit_1","DANINT"
"3230","LBS 7","44","hit_1","DANINT"
"3231","LBS 7","45","hit_1","DANINT"
"3232","LBS 7","45","hit_2","CARCNC"
"3233","LBS 7","46","hit_1","GEUROS"
"3234","LBS 7","47","hit_1","ARTSCO"
"3235","LBS 7","48","hit_1","ARTSCO"
"3236","LBS 7","49","hit_1","GEUROS"
"3237","LBS 7","49","hit_2","CARCNC"
"3238","LBS 7","49","hit_3","ERISIM"
"3239","LBS 5","2","hit_1","CARRUP"
"3240","LBS 5","2","hit_2","POTDIV"
"3241","LBS 5","3","hit_1","GEUROS"
"3242","LBS 5","4","hit_1","LLOSER"
"3243","LBS 5","4","hit_2","GEUROS"
"3244","LBS 5","6","hit_1","POTDIV"
"3245","LBS 5","8","hit_1","GEUROS"
"3246","LBS 5","8","hit_2","CARRUP"
"3247","LBS 5","9","hit_1","GEUROS"
"3248","LBS 5","10","hit_1","GEUROS"
"3249","LBS 5","13","hit_1","PHLPUL"
"3250","LBS 5","14","hit_1","CARRUP"
"3251","LBS 5","15","hit_1","GEUROS"
"3252","LBS 5","16","hit_1","LLOSER"
"3253","LBS 5","18","hit_1","GEUROS"
"3254","LBS 5","19","hit_1","LLOSER"
"3255","LBS 5","21","hit_1","CARRUP"
"3256","LBS 5","23","hit_1","SOLMUL"
"3257","LBS 5","23","hit_2","GEUROS"
"3258","LBS 5","25","hit_1","LLOSER"
"3259","LBS 5","26","hit_1","POTDIV"
"3260","LBS 5","27","hit_1","CARRUP"
"3261","LBS 5","28","hit_2","SELDEN"
"3262","LBS 5","29","hit_1","LLOSER"
"3263","LBS 5","29","hit_2","GEUROS"
"3264","LBS 5","30","hit_1","POTDIV"
"3265","LBS 5","31","hit_1","SILACA"
"3266","LBS 5","32","hit_1","SELDEN"
"3267","LBS 5","34","hit_1","PHLPUL"
"3268","LBS 5","35","hit_1","CARCNC"
"3269","LBS 5","36","hit_1","POTCON"
"3270","LBS 5","36","hit_2","AREFEN"
"3271","LBS 5","37","hit_1","SOLMUL"
"3272","LBS 5","38","hit_1","SELDEN"
"3273","LBS 5","39","hit_2","MINOBT"
"3274","LBS 5","40","hit_1","CARCNC"
"3275","LBS 5","40","hit_2","GEUROS"
"3276","LBS 5","42","hit_1","CARCNC"
"3277","LBS 5","43","hit_1","SOLMUL"
"3278","LBS 5","44","hit_1","SOLMUL"
"3279","LBS 5","45","hit_1","GEUROS"
"3280","LBS 5","46","hit_1","POTCON"
"3281","LBS 5","47","hit_1","CARCNC"
"3282","LBS 5","47","hit_2","POTCON"
"3283","LBS 5","47","hit_3","SOLMUL"
"3284","LBS 5","48","hit_1","GEUROS"
"3285","LBS 5","48","hit_2","MINOBT"
"3286","LBS 5","49","hit_1","ARTSCO"
"3287","LBS 5","49","hit_3","MINOBT"
"3288","LBS 5","50","hit_1","MINOBT"
"3289","LBS 6","1","hit_1","GEUROS"
"3290","LBS 6","4","hit_1","MINOBT"
"3291","LBS 6","5","hit_1","LLOSER"
"3292","LBS 6","6","hit_1","DANINT"
"3293","LBS 6","6","hit_2","MINOBT"
"3294","LBS 6","7","hit_1","SOLMUL"
"3295","LBS 6","11","hit_1","MINOBT"
"3296","LBS 6","12","hit_1","LLOSER"
"3297","LBS 6","13","hit_1","SOLMUL"
"3298","LBS 6","14","hit_1","CAMROT"
"3299","LBS 6","14","hit_2","TRISPI"
"3300","LBS 6","16","hit_1","POTDIV"
"3301","LBS 6","17","hit_1","AREFEN"
"3302","LBS 6","18","hit_1","PEDGRO"
"3303","LBS 6","23","hit_1","CARCNC"
"3304","LBS 6","26","hit_1","MINOBT"
"3305","LBS 6","27","hit_1","SEDLAN"
"3306","LBS 6","28","hit_1","SOLMUL"
"3307","LBS 6","30","hit_1","GEUROS"
"3308","LBS 6","31","hit_1","POTDIV"
"3309","LBS 6","32","hit_1","SOLMUL"
"3310","LBS 6","33","hit_1","AREFEN"
"3311","LBS 6","34","hit_1","AREFEN"
"3312","LBS 6","35","hit_1","GEUROS"
"3313","LBS 6","35","hit_2","CAMROT"
"3314","LBS 6","36","hit_1","DANINT"
"3315","LBS 6","38","hit_1","CARCNC"
"3316","LBS 6","39","hit_1","TRIPAR"
"3317","LBS 6","39","hit_2","CAMROT"
"3318","LBS 6","41","hit_1","POTDIV"
"3319","LBS 6","45","hit_1","SEDLAN"
"3320","LBS 6","47","hit_1","AREFEN"
"3321","LBS 6","48","hit_1","DANINT"
"3322","ECO 3","3","hit_1","SILACA"
"3323","ECO 3","4","hit_1","PHLPUL"
"3324","ECO 3","5","hit_1","TRIDAS"
"3325","ECO 3","7","hit_1","CARRUP"
"3326","ECO 3","8","hit_1","GEUROS"
"3327","ECO 3","8","hit_2","SILACA"
"3328","ECO 3","9","hit_1","CARRUP"
"3329","ECO 3","10","hit_1","SELDEN"
"3330","ECO 3","11","hit_1","GEUROS"
"3331","ECO 3","12","hit_1","GEUROS"
"3332","ECO 3","12","hit_2","CARRUP"
"3333","ECO 3","15","hit_1","ARTSCO"
"3334","ECO 3","15","hit_2","SELDEN"
"3335","ECO 3","16","hit_1","GEUROS"
"3336","ECO 3","16","hit_3","MINOBT"
"3337","ECO 3","17","hit_1","MINOBT"
"3338","ECO 3","19","hit_1","MINOBT"
"3339","ECO 3","21","hit_1","CARRUP"
"3340","ECO 3","23","hit_1","OREALP"
"3341","ECO 3","24","hit_1","MINOBT"
"3342","ECO 3","25","hit_1","SELDEN"
"3343","ECO 3","28","hit_1","SEDLAN"
"3344","ECO 3","29","hit_1","GEUROS"
"3345","ECO 3","32","hit_1","SILACA"
"3346","ECO 3","33","hit_1","CARRUP"
"3347","ECO 3","33","hit_2","TRIDAS"
"3348","ECO 3","33","hit_3","PHLPUL"
"3349","ECO 3","34","hit_1","LLOSER"
"3350","ECO 3","34","hit_2","TRIDAS"
"3351","ECO 3","35","hit_1","CARROS"
"3352","ECO 3","36","hit_1","CARRUP"
"3353","ECO 3","37","hit_1","GEUROS"
"3354","ECO 3","37","hit_2","SILACA"
"3355","ECO 3","38","hit_1","GEUROS"
"3356","ECO 3","38","hit_2","CARRUP"
"3357","ECO 3","39","hit_1","CARRUP"
"3358","ECO 3","40","hit_1","CARROS"
"3359","ECO 3","41","hit_1","SELDEN"
"3360","ECO 3","42","hit_1","PHLPUL"
"3361","ECO 3","43","hit_1","GEUROS"
"3362","ECO 3","44","hit_1","CARRUP"
"3363","ECO 3","45","hit_1","SELDEN"
"3364","ECO 3","47","hit_1","GEUROS"
"3365","ECO 3","48","hit_1","CARRUP"
"3366","ECO 3","48","hit_2","ARTSCO"
"3367","ECO 3","49","hit_1","SELDEN"
"3368","ECO 3","50","hit_1","SELDEN"
"3369","ECO 4","7","hit_1","CARRUP"
"3370","ECO 4","12","hit_1","CARRUP"
"3371","ECO 4","13","hit_1","MINOBT"
"3372","ECO 4","15","hit_1","CARRUP"
"3373","ECO 4","19","hit_1","OREALP"
"3374","ECO 4","19","hit_2","SELDEN"
"3375","ECO 4","20","hit_1","OREALP"
"3376","ECO 4","26","hit_1","AREFEN"
"3377","ECO 4","28","hit_1","GEUROS"
"3378","ECO 4","28","hit_2","AREFEN"
"3379","ECO 4","29","hit_1","GEUROS"
"3380","ECO 4","29","hit_2","AREFEN"
"3381","ECO 4","30","hit_1","CARRUP"
"3382","ECO 4","30","hit_2","MINOBT"
"3383","ECO 4","30","hit_3","SEDLAN"
"3384","ECO 4","31","hit_1","AREFEN"
"3385","ECO 4","32","hit_1","AREFEN"
"3386","ECO 4","34","hit_1","CARROS"
"3387","ECO 4","34","hit_2","OREALP"
"3388","ECO 4","34","hit_3","GEUROS"
"3389","ECO 4","35","hit_1","OREALP"
"3390","ECO 4","35","hit_2","AREFEN"
"3391","ECO 4","36","hit_1","GEUROS"
"3392","ECO 4","37","hit_1","CARRUP"
"3393","ECO 4","39","hit_1","GEUROS"
"3394","ECO 4","39","hit_2","CARRUP"
"3395","ECO 4","40","hit_1","FESBRA"
"3396","ECO 4","43","hit_1","PHLPUL"
"3397","ECO 4","45","hit_1","CARRUP"
"3398","ECO 4","46","hit_1","CARROS"
"3399","ECO 4","46","hit_2","PHLPUL"
"3400","ECO 4","47","hit_1","GEUROS"
"3401","ECO 4","48","hit_1","GEUROS"
"3402","ECO 4","50","hit_1","CARROS"
"3403","ECO 1","1","hit_1","CARRUP"
"3404","ECO 1","4","hit_1","TETGRA"
"3405","ECO 1","5","hit_1","CARRUP"
"3406","ECO 1","5","hit_2","MINOBT"
"3407","ECO 1","6","hit_1","TETGRA"
"3408","ECO 1","7","hit_1","CALPUR"
"3409","ECO 1","11","hit_1","CARRUP"
"3410","ECO 1","12","hit_1","CALPUR"
"3411","ECO 1","13","hit_1","MINOBT"
"3412","ECO 1","15","hit_1","CARRUP"
"3413","ECO 1","16","hit_1","CARRUP"
"3414","ECO 1","16","hit_2","OREALP"
"3415","ECO 1","17","hit_1","CARRUP"
"3416","ECO 1","19","hit_1","KOBMYO"
"3417","ECO 1","20","hit_1","CARRUP"
"3418","ECO 1","21","hit_1","CARRUP"
"3419","ECO 1","21","hit_2","MINOBT"
"3420","ECO 1","23","hit_1","CARRUP"
"3421","ECO 1","24","hit_1","OREALP"
"3422","ECO 1","24","hit_2","MINOBT"
"3423","ECO 1","25","hit_1","CARRUP"
"3424","ECO 1","26","hit_1","SILACA"
"3425","ECO 1","29","hit_1","SILACA"
"3426","ECO 1","30","hit_1","CARRUP"
"3427","ECO 1","30","hit_3","CARROS"
"3428","ECO 1","31","hit_1","CAMSPP"
"3429","ECO 1","31","hit_2","CARRUP"
"3430","ECO 1","31","hit_3","OREALP"
"3431","ECO 1","31","hit_4","SILACA"
"3432","ECO 1","31","hit_5","SELDEN"
"3433","ECO 1","33","hit_1","MINOBT"
"3434","ECO 1","35","hit_1","OREALP"
"3435","ECO 1","35","hit_2","SILACA"
"3436","ECO 1","39","hit_1","SILACA"
"3437","ECO 1","40","hit_1","SILACA"
"3438","ECO 1","43","hit_1","SILACA"
"3439","ECO 1","44","hit_1","CARRUP"
"3440","ECO 1","44","hit_2","MINOBT"
"3441","ECO 1","45","hit_1","TETGRA"
"3442","ECO 1","46","hit_1","OREALP"
"3443","ECO 1","47","hit_1","TRIDAS"
"3444","ECO 1","48","hit_1","SILACA"
"3445","ECO 2","1","hit_1","CARRUP"
"3446","ECO 2","2","hit_1","CARRUP"
"3447","ECO 2","3","hit_1","CARRUP"
"3448","ECO 2","5","hit_1","SELDEN"
"3449","ECO 2","9","hit_1","MINOBT"
"3450","ECO 2","10","hit_1","ERINAN"
"3451","ECO 2","11","hit_1","CARRUP"
"3452","ECO 2","11","hit_2","SELDEN"
"3453","ECO 2","13","hit_1","SELDEN"
"3454","ECO 2","15","hit_1","CARRUP"
